time/s	<Ewe/V>	I/mA	
2,545239935701829E+001	6,8515688E-001	2,0048575E+000
2,555239935449208E+001	6,8513840E-001	1,9991385E+000
2,565239935196587E+001	6,8510586E-001	1,9978676E+000
2,575239934943966E+001	6,8507069E-001	1,9972322E+000
2,585239934691344E+001	6,8508601E-001	2,0048575E+000
2,595239934438723E+001	6,8517268E-001	2,0054927E+000
2,605239934186102E+001	6,8512869E-001	1,9991385E+000
2,615239933933481E+001	6,8508744E-001	2,0061283E+000
2,625239933680859E+001	6,8503821E-001	2,0067637E+000
2,635239933428238E+001	6,8507612E-001	2,0080347E+000
2,645239933175617E+001	6,8498838E-001	2,0061283E+000
2,655239932922996E+001	6,8503219E-001	2,0054927E+000
2,665239932670374E+001	6,8510175E-001	2,0042222E+000
2,675239932417753E+001	6,8501550E-001	2,0004094E+000
2,685239932165132E+001	6,8486869E-001	2,0067637E+000
2,695239931912511E+001	6,8503314E-001	1,9997739E+000
2,705239931659889E+001	6,8498552E-001	2,0086701E+000
2,715239931407268E+001	6,8500102E-001	2,0035865E+000
2,725239931154647E+001	6,8502551E-001	2,0067637E+000
2,735239930902026E+001	6,8497491E-001	2,0054927E+000
2,745239930649404E+001	6,8494511E-001	2,0023158E+000
2,755239930396783E+001	6,8487126E-001	2,0010448E+000
2,765239930144162E+001	6,8490392E-001	1,9953259E+000
2,775239929891541E+001	6,8512577E-001	1,9921488E+000
2,785239929638919E+001	6,8495744E-001	2,0029511E+000
2,795239929386298E+001	6,8488520E-001	2,0016801E+000
2,805239929133677E+001	6,8499452E-001	2,0010448E+000
2,815239928881056E+001	6,8483579E-001	1,9997739E+000
2,825239928628434E+001	6,8492043E-001	1,9946904E+000
2,835239928375813E+001	6,8486494E-001	2,0016801E+000
2,845239928123192E+001	6,8484330E-001	1,9972322E+000
2,855239927870571E+001	6,8477714E-001	2,0093055E+000
2,865239927617949E+001	6,8490535E-001	2,0080347E+000
2,875239927365328E+001	6,8492633E-001	2,0023158E+000
2,885239927112707E+001	6,8475676E-001	2,0010448E+000
2,895239926860086E+001	6,8482912E-001	1,9889716E+000
2,905239926607464E+001	6,8476468E-001	1,9972322E+000
2,915239926354843E+001	6,8480587E-001	2,0010448E+000
2,925239926102222E+001	6,8482566E-001	2,0067637E+000
2,935239925849601E+001	6,8478549E-001	2,0054927E+000
2,945239925596979E+001	6,8476743E-001	2,0023158E+000
2,955239925344358E+001	6,8490583E-001	2,0054927E+000
2,965239925091737E+001	6,8487519E-001	2,0054927E+000
2,975239924839116E+001	6,8478298E-001	2,0080347E+000
2,985239924586494E+001	6,8486196E-001	1,9991385E+000
2,995239924333873E+001	6,8471974E-001	1,9978676E+000
3,005239924081252E+001	6,8487483E-001	2,0010448E+000
3,015239923828631E+001	6,8474543E-001	1,9991385E+000
3,025239923576009E+001	6,8472052E-001	1,9985032E+000
3,035239923323388E+001	6,8476558E-001	2,0099409E+000
3,045239923070767E+001	6,8459529E-001	2,0023158E+000
3,055239922818146E+001	6,8481660E-001	2,0112119E+000
3,065239922565524E+001	6,8463445E-001	2,0048575E+000
3,075239922312903E+001	6,8460393E-001	2,0099409E+000
3,085239922060282E+001	6,8468100E-001	2,0124826E+000
3,095239921807661E+001	6,8465936E-001	2,0048575E+000
3,105239921555039E+001	6,8474060E-001	1,9953259E+000
3,115239921302418E+001	6,8451691E-001	1,9985032E+000
3,125239921049797E+001	6,8464369E-001	2,0042222E+000
3,135239920797176E+001	6,8461663E-001	2,0099409E+000
3,145239920544554E+001	6,8459791E-001	2,0023158E+000
3,155239920291933E+001	6,8469763E-001	2,0118473E+000
3,165239920039312E+001	6,8459368E-001	2,0093055E+000
3,175239919786691E+001	6,8462044E-001	2,0105762E+000
3,185239919534069E+001	6,8462002E-001	1,9997739E+000
3,195239919281448E+001	6,8464041E-001	2,0004094E+000
3,205239919028827E+001	6,8466115E-001	1,9921488E+000
3,215239918776206E+001	6,8456852E-001	2,0124826E+000
3,225239918523584E+001	6,8454522E-001	2,0042222E+000
3,235239918270963E+001	6,8460488E-001	1,9997739E+000
3,245239918018342E+001	6,8465835E-001	1,9985032E+000
3,255239917765721E+001	6,8458217E-001	2,0105762E+000
3,265239917513100E+001	6,8457139E-001	2,0112119E+000
3,275239917260478E+001	6,8453151E-001	2,0010448E+000
3,285239917007857E+001	6,8443334E-001	2,0023158E+000
3,295239916755236E+001	6,8457079E-001	2,0042222E+000
3,305239916502615E+001	6,8461531E-001	2,0023158E+000
3,315239916249993E+001	6,8452251E-001	2,0105762E+000
3,325239915997372E+001	6,8451953E-001	2,0016801E+000
3,335239915744751E+001	6,8458110E-001	2,0080347E+000
3,345239915492130E+001	6,8455231E-001	1,9934196E+000
3,355239915239508E+001	6,8456042E-001	2,0035865E+000
3,365239914986887E+001	6,8436515E-001	2,0029511E+000
3,375239914734266E+001	6,8446428E-001	2,0023158E+000
3,385239914481645E+001	6,8447423E-001	2,0118473E+000
3,395239914229023E+001	6,8456167E-001	2,0048575E+000
3,405239913976402E+001	6,8451285E-001	2,0048575E+000
3,415239913723781E+001	6,8440813E-001	2,0016801E+000
3,425239913471160E+001	6,8448824E-001	2,0023158E+000
3,435239913218538E+001	6,8447131E-001	2,0061283E+000
3,445239912965917E+001	6,8444592E-001	2,0023158E+000
3,455239912713296E+001	6,8437427E-001	2,0080347E+000
3,465239912460675E+001	6,8450749E-001	1,9985032E+000
3,475239912208053E+001	6,8445504E-001	2,0048575E+000
3,485239911955432E+001	6,8444729E-001	1,9985032E+000
3,495239911702811E+001	6,8438429E-001	1,9985032E+000
3,505239911450190E+001	6,8452770E-001	2,0061283E+000
3,515239911197568E+001	6,8433845E-001	2,0067637E+000
3,525239910944947E+001	6,8434590E-001	2,0016801E+000
3,535239910692326E+001	6,8454212E-001	1,9915133E+000
3,545239910439705E+001	6,8433261E-001	2,0029511E+000
3,555239910187083E+001	6,8453270E-001	2,0054927E+000
3,565239909934462E+001	6,8442887E-001	2,0048575E+000
3,575239909681841E+001	6,8452466E-001	2,0067637E+000
3,585239909429220E+001	6,8445367E-001	2,0016801E+000
3,595239909176598E+001	6,8437833E-001	1,9959613E+000
3,605239908923977E+001	6,8430728E-001	1,9997739E+000
3,615239908671356E+001	6,8434125E-001	2,0023158E+000
3,625239908418735E+001	6,8437219E-001	2,0099409E+000
3,635239908166113E+001	6,8443495E-001	2,0035865E+000
3,645239907913492E+001	6,8436193E-001	2,0073991E+000
3,655239907660871E+001	6,8434668E-001	2,0054927E+000
3,665239907408250E+001	6,8437207E-001	2,0093055E+000
3,675239907155628E+001	6,8438852E-001	2,0105762E+000
3,685239906903007E+001	6,8443072E-001	2,0010448E+000
3,695239906650386E+001	6,8438482E-001	2,0048575E+000
3,705239906397765E+001	6,8435007E-001	2,0099409E+000
3,715239906145143E+001	6,8439239E-001	2,0016801E+000
3,725239905892522E+001	6,8424082E-001	2,0016801E+000
3,735239905639901E+001	6,8431199E-001	2,0016801E+000
3,745239905387280E+001	6,8438590E-001	2,0023158E+000
3,755239905134658E+001	6,8426311E-001	2,0054927E+000
3,765239904882037E+001	6,8436533E-001	1,9997739E+000
3,775239904629416E+001	6,8429291E-001	2,0035865E+000
3,785239904376795E+001	6,8436730E-001	2,0035865E+000
3,795239904124173E+001	6,8436438E-001	2,0073991E+000
3,805239903871552E+001	6,8427652E-001	2,0029511E+000
3,815239903618931E+001	6,8428254E-001	1,9972322E+000
3,825239903366310E+001	6,8434632E-001	2,0067637E+000
3,835239903113688E+001	6,8439966E-001	1,9997739E+000
3,845239902861067E+001	6,8428308E-001	2,0042222E+000
3,855239902608446E+001	6,8427151E-001	2,0099409E+000
3,865239902355825E+001	6,8436909E-001	2,0016801E+000
3,875239902103203E+001	6,8424445E-001	1,9934196E+000
3,885239901850582E+001	6,8427086E-001	2,0029511E+000
3,895239901597961E+001	6,8429250E-001	1,9934196E+000
3,905239901345340E+001	6,8428308E-001	2,0010448E+000
3,915239901092718E+001	6,8428439E-001	1,9985032E+000
3,925239900840097E+001	6,8425715E-001	1,9985032E+000
3,935239900587476E+001	6,8428433E-001	1,9997739E+000
3,945239900334855E+001	6,8427479E-001	2,0016801E+000
3,955239900082233E+001	6,8415350E-001	2,0035865E+000
3,965239899829612E+001	6,8421227E-001	2,0029511E+000
3,975239899576991E+001	6,8425405E-001	2,0093055E+000
3,985239899324370E+001	6,8430901E-001	2,0143890E+000
3,995239899071748E+001	6,8426573E-001	1,9978676E+000
4,005239898819127E+001	6,8428725E-001	1,9997739E+000
4,015239898566506E+001	6,8404454E-001	2,0004094E+000
4,025239898313885E+001	6,8417811E-001	1,9985032E+000
4,035239898061263E+001	6,8422598E-001	2,0035865E+000
4,045239897808642E+001	6,8415433E-001	1,9908779E+000
4,055239897556021E+001	6,8426460E-001	1,9959613E+000
4,065239897303400E+001	6,8419379E-001	2,0080347E+000
4,075239897050778E+001	6,8427551E-001	2,0016801E+000
4,085239896798157E+001	6,8417794E-001	2,0023158E+000
4,095239896545536E+001	6,8428546E-001	1,9953259E+000
4,105239896292915E+001	6,8424863E-001	2,0042222E+000
4,115239896040293E+001	6,8414551E-001	2,0080347E+000
4,125239895787672E+001	6,8411446E-001	1,9991385E+000
4,135239895535051E+001	6,8420053E-001	2,0023158E+000
4,145239895282430E+001	6,8427217E-001	2,0023158E+000
4,155239895029808E+001	6,8412483E-001	2,0054927E+000
4,165239894777187E+001	6,8421167E-001	1,9991385E+000
4,175239894524566E+001	6,8408042E-001	2,0010448E+000
4,185239894271945E+001	6,8422198E-001	2,0010448E+000
4,195239894019323E+001	6,8414545E-001	1,9978676E+000
4,205239893766702E+001	6,8417794E-001	2,0061283E+000
4,215239893514081E+001	6,8420178E-001	1,9985032E+000
4,225239893261460E+001	6,8412960E-001	2,0061283E+000
4,235239893008838E+001	6,8429399E-001	2,0035865E+000
4,245239892756217E+001	6,8414766E-001	1,9959613E+000
4,255239892503596E+001	6,8416268E-001	2,0061283E+000
4,265239892250975E+001	6,8424314E-001	2,0010448E+000
4,275239891998353E+001	6,8413800E-001	1,9959613E+000
4,285239891745732E+001	6,8402153E-001	1,9946904E+000
4,295239891493111E+001	6,8416971E-001	2,0080347E+000
4,305239891240490E+001	6,8410951E-001	2,0010448E+000
4,315239890987868E+001	6,8410927E-001	1,9997739E+000
4,325239890735247E+001	6,8408269E-001	2,0054927E+000
4,335239890482626E+001	6,8404126E-001	2,0004094E+000
4,345239890230005E+001	6,8417680E-001	2,0016801E+000
4,355239889977383E+001	6,8418014E-001	2,0029511E+000
