time/s	<Ewe/V>	I/mA	
3,165239920039312E+001	7,0890766E-001	1,9908779E+000
3,175239919786691E+001	7,0890290E-001	1,9978676E+000
3,185239919534069E+001	7,0891184E-001	1,9921488E+000
3,195239919281448E+001	7,0874101E-001	1,9978676E+000
3,205239919028827E+001	7,0870149E-001	1,9959613E+000
3,215239918776206E+001	7,0880038E-001	1,9959613E+000
3,225239918523584E+001	7,0881712E-001	1,9921488E+000
3,235239918270963E+001	7,0869035E-001	1,9864298E+000
3,245239918018342E+001	7,0871693E-001	1,9927841E+000
3,255239917765721E+001	7,0873863E-001	1,9877007E+000
3,265239917513100E+001	7,0893550E-001	1,9921488E+000
3,275239917260478E+001	7,0858824E-001	1,9921488E+000
3,285239917007857E+001	7,0864004E-001	1,9864298E+000
3,295239916755236E+001	7,0877016E-001	1,9851590E+000
3,305239916502615E+001	7,0861143E-001	1,9946904E+000
3,315239916249993E+001	7,0845586E-001	1,9921488E+000
3,325239915997372E+001	7,0879591E-001	1,9940550E+000
3,335239915744751E+001	7,0862377E-001	1,9927841E+000
3,345239915492130E+001	7,0856714E-001	1,9940550E+000
3,355239915239508E+001	7,0858502E-001	1,9946904E+000
3,365239914986887E+001	7,0863217E-001	1,9889716E+000
3,375239914734266E+001	7,0879030E-001	1,9940550E+000
3,385239914481645E+001	7,0840824E-001	1,9953259E+000
3,395239914229023E+001	7,0871651E-001	1,9940550E+000
3,405239913976402E+001	7,0867664E-001	1,9972322E+000
3,415239913723781E+001	7,0865393E-001	1,9934196E+000
3,425239913471160E+001	7,0866740E-001	1,9927841E+000
3,435239913218538E+001	7,0847893E-001	1,9940550E+000
3,445239912965917E+001	7,0859629E-001	1,9959613E+000
3,455239912713296E+001	7,0870197E-001	1,9896070E+000
3,465239912460675E+001	7,0864815E-001	1,9927841E+000
3,475239912208053E+001	7,0853829E-001	1,9870653E+000
3,485239911955432E+001	7,0852643E-001	1,9927841E+000
3,495239911702811E+001	7,0853674E-001	1,9902425E+000
3,505239911450190E+001	7,0851839E-001	1,9934196E+000
3,515239911197568E+001	7,0873487E-001	1,9896070E+000
3,525239910944947E+001	7,0877832E-001	1,9877007E+000
3,535239910692326E+001	7,0858890E-001	1,9991385E+000
3,545239910439705E+001	7,0852482E-001	1,9953259E+000
3,555239910187083E+001	7,0864201E-001	1,9959613E+000
3,565239909934462E+001	7,0864910E-001	1,9997739E+000
3,575239909681841E+001	7,0845538E-001	1,9991385E+000
3,585239909429220E+001	7,0845068E-001	1,9940550E+000
3,595239909176598E+001	7,0840579E-001	1,9870653E+000
3,605239908923977E+001	7,0839715E-001	1,9851590E+000
3,615239908671356E+001	7,0856851E-001	1,9870653E+000
3,625239908418735E+001	7,0833993E-001	1,9959613E+000
3,635239908166113E+001	7,0850337E-001	1,9927841E+000
3,645239907913492E+001	7,0855045E-001	1,9915133E+000
3,655239907660871E+001	7,0833635E-001	1,9934196E+000
3,665239907408250E+001	7,0827633E-001	1,9902425E+000
3,675239907155628E+001	7,0838189E-001	1,9908779E+000
3,685239906903007E+001	7,0849717E-001	1,9934196E+000
3,695239906650386E+001	7,0837814E-001	1,9927841E+000
3,705239906397765E+001	7,0858032E-001	1,9889716E+000
3,715239906145143E+001	7,0849115E-001	1,9921488E+000
3,725239905892522E+001	7,0851129E-001	1,9870653E+000
3,735239905639901E+001	7,0848501E-001	1,9896070E+000
3,745239905387280E+001	7,0827991E-001	1,9985032E+000
3,755239905134658E+001	7,0829028E-001	1,9845235E+000
3,765239904882037E+001	7,0855284E-001	1,9877007E+000
3,775239904629416E+001	7,0844328E-001	1,9902425E+000
3,785239904376795E+001	7,0838350E-001	1,9908779E+000
3,795239904124173E+001	7,0852542E-001	1,9997739E+000
3,805239903871552E+001	7,0832342E-001	1,9991385E+000
3,815239903618931E+001	7,0858097E-001	1,9921488E+000
3,825239903366310E+001	7,0870525E-001	1,9953259E+000
3,835239903113688E+001	7,0840329E-001	1,9997739E+000
3,845239902861067E+001	7,0843965E-001	1,9991385E+000
3,855239902608446E+001	7,0842952E-001	1,9889716E+000
3,865239902355825E+001	7,0831734E-001	1,9921488E+000
3,875239902103203E+001	7,0828801E-001	1,9915133E+000
3,885239901850582E+001	7,0822722E-001	1,9959613E+000
3,895239901597961E+001	7,0846856E-001	1,9934196E+000
3,905239901345340E+001	7,0822793E-001	1,9908779E+000
3,915239901092718E+001	7,0817101E-001	1,9934196E+000
3,925239900840097E+001	7,0835918E-001	1,9927841E+000
3,935239900587476E+001	7,0867765E-001	1,9896070E+000
3,945239900334855E+001	7,0827174E-001	1,9940550E+000
3,955239900082233E+001	7,0825303E-001	1,9915133E+000
3,965239899829612E+001	7,0822978E-001	1,9896070E+000
3,975239899576991E+001	7,0838201E-001	1,9921488E+000
3,985239899324370E+001	7,0845979E-001	1,9902425E+000
3,995239899071748E+001	7,0833039E-001	1,9921488E+000
4,005239898819127E+001	7,0855153E-001	1,9921488E+000
4,015239898566506E+001	7,0825940E-001	1,9972322E+000
4,025239898313885E+001	7,0834845E-001	1,9883362E+000
4,035239898061263E+001	7,0824814E-001	1,9883362E+000
4,045239897808642E+001	7,0833015E-001	1,9934196E+000
4,055239897556021E+001	7,0819062E-001	1,9972322E+000
4,065239897303400E+001	7,0833147E-001	1,9972322E+000
4,075239897050778E+001	7,0830613E-001	1,9934196E+000
4,085239896798157E+001	7,0812488E-001	1,9889716E+000
4,095239896545536E+001	7,0830774E-001	1,9908779E+000
4,105239896292915E+001	7,0822686E-001	1,9978676E+000
4,115239896040293E+001	7,0837426E-001	1,9934196E+000
4,125239895787672E+001	7,0845360E-001	1,9927841E+000
4,135239895535051E+001	7,0860821E-001	1,9896070E+000
4,145239895282430E+001	7,0811290E-001	1,9908779E+000
4,155239895029808E+001	7,0801729E-001	1,9819819E+000
4,165239894777187E+001	7,0833480E-001	1,9889716E+000
4,175239894524566E+001	7,0842373E-001	1,9940550E+000
4,185239894271945E+001	7,0849019E-001	1,9889716E+000
4,195239894019323E+001	7,0834303E-001	1,9927841E+000
4,205239893766702E+001	7,0850068E-001	1,9978676E+000
4,215239893514081E+001	7,0836520E-001	1,9889716E+000
4,225239893261460E+001	7,0801038E-001	1,9915133E+000
4,235239893008838E+001	7,0815730E-001	1,9946904E+000
4,245239892756217E+001	7,0845073E-001	1,9959613E+000
4,255239892503596E+001	7,0826137E-001	1,9978676E+000
4,265239892250975E+001	7,0823777E-001	2,0023158E+000
