Ewe/V	<I>/mA	
2,9360211E-001	-6,797280411715290E-003
2,9466081E-001	-6,689943399007350E-003
2,9564950E-001	-6,584592293573097E-003
2,9665512E-001	-6,488490728170412E-003
2,9761094E-001	-6,395974932668774E-003
2,9863888E-001	-6,290166609753716E-003
2,9964557E-001	-6,194190263284619E-003
3,0064276E-001	-6,090475310028473E-003
3,0163887E-001	-6,005106486076226E-003
3,0260956E-001	-5,902896442264771E-003
3,0361092E-001	-5,824035800149480E-003
3,0463147E-001	-5,725849304835773E-003
3,0566576E-001	-5,640145887805804E-003
3,0665350E-001	-5,532150416779333E-003
3,0761236E-001	-5,445971923311130E-003
3,0865088E-001	-5,352553978327165E-003
3,0960774E-001	-5,270440000953586E-003
3,1063139E-001	-5,168001942159439E-003
3,1159997E-001	-5,097692504619181E-003
3,1259286E-001	-5,002803669697575E-003
3,1363568E-001	-4,927391670496436E-003
3,1463495E-001	-4,828644802540694E-003
3,1555367E-001	-4,751230517945820E-003
3,1659961E-001	-4,675162901210672E-003
3,1761375E-001	-4,576175053142770E-003
3,1861198E-001	-4,503918411715692E-003
3,1958270E-001	-4,408900157155652E-003
3,2063425E-001	-4,349236435612018E-003
3,2160136E-001	-4,274720005692914E-003
3,2264307E-001	-4,187817800500468E-003
3,2360736E-001	-4,120473318657787E-003
3,2457691E-001	-4,042976847155488E-003
3,2560489E-001	-3,955307009098259E-003
3,2660738E-001	-3,878137896491052E-003
3,2761300E-001	-3,782164529303852E-003
3,2857728E-001	-3,734606112832108E-003
3,2960945E-001	-3,647013503438830E-003
3,3061832E-001	-3,567834763683150E-003
3,3159319E-001	-3,503404541866090E-003
3,3257872E-001	-3,420543193833246E-003
3,3362153E-001	-3,353526546269931E-003
3,3459955E-001	-3,267680914043565E-003
3,3566567E-001	-3,208487009449566E-003
3,3664376E-001	-3,141479175342465E-003
3,3762610E-001	-3,073483828370499E-003
3,3867735E-001	-2,984241214794667E-003
3,3962256E-001	-2,947910797263920E-003
3,4059533E-001	-2,858668212115487E-003
3,4164870E-001	-2,796714579579744E-003
3,4260133E-001	-2,744598533929689E-003
3,4362394E-001	-2,667154943278925E-003
3,4462747E-001	-2,590663739694044E-003
3,4562150E-001	-2,525700738256517E-003
3,4662771E-001	-2,488585108434416E-003
3,4759599E-001	-2,403471444540728E-003
3,4864694E-001	-2,357813552818019E-003
3,4963030E-001	-2,303040116394978E-003
3,5063806E-001	-2,233950579305317E-003
3,5160974E-001	-2,156540345999935E-003
3,5264409E-001	-2,109234451338474E-003
3,5360730E-001	-2,045017185713618E-003
3,5464370E-001	-1,977184363984669E-003
3,5559314E-001	-1,942402285182131E-003
3,5663807E-001	-1,864148946081005E-003
3,5764688E-001	-1,823611695776368E-003
3,5858995E-001	-1,740232680089003E-003
3,5964018E-001	-1,686661219671252E-003
3,6061171E-001	-1,632554452688199E-003
3,6163130E-001	-1,566108673430955E-003
3,6260197E-001	-1,513582276508510E-003
3,6361927E-001	-1,463471358495338E-003
3,6462387E-001	-1,395559824730979E-003
3,6559880E-001	-1,357375822911566E-003
3,6659706E-001	-1,308525226700535E-003
3,6760479E-001	-1,233788707952273E-003
3,6862105E-001	-1,197651840793321E-003
3,6958006E-001	-1,118966864440837E-003
3,7056664E-001	-1,090538457367712E-003
3,7157968E-001	-1,033766401841623E-003
3,7260339E-001	-9,839312192267743E-004
3,7359843E-001	-9,485558606139796E-004
3,7461558E-001	-8,692670586470247E-004
3,7556091E-001	-8,186236988408635E-004
3,7658462E-001	-7,601559734209213E-004
3,7762639E-001	-7,293116946351583E-004
3,7858430E-001	-6,735191373062419E-004
3,7960261E-001	-6,272722189621088E-004
3,8061574E-001	-5,879448816748260E-004
3,8159594E-001	-5,440836153969911E-004
3,8261858E-001	-4,911372692758863E-004
3,8363269E-001	-4,272001420754250E-004
3,8464794E-001	-3,697003935083402E-004
3,8563025E-001	-3,470778882205252E-004
3,8663059E-001	-2,851518519102174E-004
3,8760507E-001	-2,252815309179263E-004
3,8858885E-001	-1,790072216627204E-004
3,8959450E-001	-1,254227573993503E-004
3,9058211E-001	-1,229663272789214E-004
3,9159623E-001	-4,707624494253572E-005
3,9262736E-001	2,965411868669252E-006
3,9361498E-001	4,348814015112183E-005
3,9458883E-001	8,906591893222430E-005
3,9555204E-001	1,400777243713145E-004
3,9662132E-001	1,772532636720638E-004
3,9764506E-001	2,326091202543090E-004
3,9859870E-001	2,914723889312481E-004
3,9957464E-001	3,572364448004642E-004
4,0063018E-001	3,779922732506068E-004
4,0160948E-001	4,314929306047932E-004
4,0262669E-001	5,140665616956055E-004
4,0364075E-001	5,403589357923814E-004
4,0459448E-001	5,767065302685944E-004
